Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career
1,2,2,2,4,4,3,4,4,1,4,1,Medical Assistant
2,3,2,4,4,3,3,4,5,5,2,3,Tour Guide
4,4,4,2,3,5,3,2,3,1,2,5,Banker
5,5,5,1,2,5,5,2,2,2,4,4,Data Scientist
5,3,3,2,3,5,4,2,2,2,5,3,Mechanical Engineer
5,4,5,3,2,4,3,4,2,1,4,3,Software Developer
2,4,2,3,5,4,4,4,4,3,5,2,Radiologic Technologist
5,4,5,1,4,5,5,4,3,1,3,5,Economist
3,3,3,2,3,5,4,3,2,1,2,5,Accountant
5,5,4,2,2,5,5,3,2,1,3,4,Data Scientist
3,3,4,3,5,5,3,3,3,4,4,3,Warehouse Manager
2,2,2,3,4,3,1,4,2,3,3,2,Flight Attendant
2,3,3,2,4,5,3,4,3,3,4,3,Warehouse Manager
3,2,2,2,4,5,1,5,3,5,5,2,Military Personnel
3,3,4,2,3,5,5,2,2,1,2,5,Auditor
2,3,2,4,5,3,1,5,4,4,3,3,Cruise Staff
4,4,5,1,2,4,5,3,2,2,4,2,Physicist
5,5,5,3,1,4,4,4,2,1,4,3,Software Developer
3,1,1,3,2,2,1,3,1,4,5,4,Farmer
5,3,2,2,4,5,5,5,3,2,5,2,Surgeon
5,4,4,4,3,5,3,2,3,2,5,2,Computer Engineer
3,3,3,2,4,5,3,4,3,2,5,2,Radiologic Technologist
4,5,5,2,2,4,4,4,2,1,4,3,Cloud Engineer
1,1,2,5,4,4,3,5,2,2,4,3,Chef
2,3,2,2,4,4,3,5,2,4,4,2,Police Officer
3,3,3,3,4,4,2,2,5,2,2,2,Tutor
3,5,5,5,2,3,2,4,2,1,4,3,Animator
3,4,4,5,5,5,3,5,2,3,3,5,Marketing Manager
1,1,1,1,2,2,1,3,1,5,4,2,Truck Driver
3,2,1,3,5,4,3,4,4,1,3,3,Physical Therapist
1,2,1,2,3,4,2,3,2,4,5,3,Plumber
1,5,5,5,3,4,1,4,2,1,3,3,Graphic Designer
3,3,3,3,5,3,3,4,4,2,1,5,Business Manager
3,3,3,3,3,5,3,3,3,1,5,3,Dentist
3,2,3,3,4,5,4,4,3,2,4,4,Industrial Engineer
2,3,2,4,4,2,3,5,3,4,3,4,Sales Representative
5,3,4,2,2,5,5,3,3,1,4,2,Chemist
5,3,3,3,3,5,4,3,2,3,5,3,Mechanical Engineer
3,1,1,2,1,4,2,3,2,3,4,2,Welder
5,5,4,3,2,5,4,3,2,1,3,5,Data Scientist
2,2,2,2,3,4,4,3,2,5,3,2,Forester
2,4,4,3,3,5,4,2,4,1,2,2,Librarian
3,4,4,3,5,4,3,5,3,2,2,4,Hotel Manager
3,2,3,2,2,4,4,3,3,5,5,3,Fisheries Specialist
2,4,3,5,4,4,2,4,2,4,4,3,Photographer
2,5,5,5,2,4,2,5,2,2,4,3,Video Editor
4,3,3,2,3,5,4,3,2,3,5,3,Mechanical Engineer
3,3,3,5,5,3,4,5,3,2,2,5,Marketing Manager
5,5,5,1,1,5,5,5,3,1,4,3,Cybersecurity Specialist
3,4,4,4,4,4,2,5,3,4,4,4,Filmmaker
2,2,1,2,4,4,1,5,1,5,5,2,Firefighter
2,4,3,5,4,4,2,4,2,4,4,3,Photographer
2,3,1,3,5,3,2,5,3,3,2,5,Sales Representative
4,3,3,3,4,5,3,4,3,2,4,3,Industrial Engineer
5,3,4,1,3,4,5,5,2,1,2,5,Stock Trader
4,3,3,2,5,5,5,5,4,1,4,2,Doctor
3,2,4,2,2,5,4,3,2,2,5,2,Lab Technician
2,2,1,2,3,3,2,3,2,5,4,3,Farmer
5,5,4,3,2,5,5,3,2,1,4,4,AI/ML Engineer
4,4,4,5,4,3,3,5,3,2,3,5,Entrepreneur
3,2,1,2,2,4,2,3,2,3,4,2,Welder
1,3,2,3,5,3,2,5,4,3,3,2,Cruise Staff
4,4,4,3,5,5,4,5,4,2,3,4,Project Manager
3,5,5,5,2,4,3,4,1,1,4,3,Web Developer
5,2,4,3,3,5,5,4,2,4,4,4,Civil Engineer
3,2,5,1,5,5,3,5,3,2,2,3,Operations Manager
2,3,3,3,5,3,2,4,4,2,1,4,Customer Service Manager
3,4,3,3,4,3,4,4,2,4,1,4,Real Estate Agent
3,3,3,2,1,5,4,3,2,2,5,2,Lab Technician
2,3,2,2,4,4,3,5,2,5,4,2,Police Officer
5,3,2,2,3,5,4,2,1,5,5,3,Civil Engineer
1,4,4,2,5,4,2,5,3,1,2,3,Call Center Agent
5,3,4,2,1,5,5,2,2,2,5,2,Chemical Engineer
1,2,2,4,5,2,1,5,3,2,4,3,Bartender
2,4,5,5,3,5,2,5,3,2,4,4,Video Editor
2,4,3,2,4,5,2,4,3,2,5,2,Radiologic Technologist
2,3,4,2,4,4,2,5,3,1,3,4,Call Center Agent
4,4,3,2,5,4,3,3,5,2,1,1,Tutor
5,3,5,2,3,5,5,3,4,3,4,2,Academic Researcher
5,5,5,2,2,5,5,5,2,1,4,3,Cybersecurity Specialist
3,1,1,4,3,4,2,2,2,3,4,3,Carpenter
2,4,4,2,3,4,4,1,3,1,2,2,Librarian
2,3,2,4,5,2,1,5,4,4,3,3,Cruise Staff
2,2,2,2,3,4,3,3,2,3,5,3,Mechanic
3,4,4,2,3,5,3,4,2,4,5,2,Pilot
3,4,3,2,4,5,3,4,2,5,5,3,Ship Captain
2,2,1,2,3,4,2,3,1,4,5,3,Plumber
5,4,4,2,3,4,3,5,2,1,4,3,DevOps Engineer
2,3,3,2,5,4,1,4,4,1,2,4,Customer Service Manager
4,3,3,3,3,4,4,3,3,5,4,2,Agricultural Engineer
4,4,5,2,2,5,4,5,3,1,4,3,Network Administrator
2,3,3,3,4,4,3,3,5,2,2,4,Human Resource Manager
5,5,5,2,2,5,5,5,2,1,3,3,Cybersecurity Specialist
5,3,5,3,3,5,5,2,4,2,3,2,Academic Researcher
5,5,5,3,2,4,4,4,2,1,4,2,Software Developer
3,5,4,4,2,3,2,4,2,1,4,2,Animator
2,2,2,4,4,3,2,5,4,4,3,3,Cruise Staff
4,4,4,3,3,5,4,3,3,2,2,2,Researcher
5,3,3,3,3,5,3,2,2,3,5,3,Mechanical Engineer
3,3,2,2,3,4,3,3,2,3,5,3,Mechanic
5,4,5,2,3,5,5,3,3,1,2,5,Economist
3,3,3,2,5,5,5,3,4,2,2,2,Psychologist
4,5,5,2,2,3,3,4,2,2,3,3,Cloud Engineer
5,3,4,3,2,5,4,3,2,2,4,3,Structural Engineer
1,4,3,5,4,4,2,4,2,4,3,3,Photographer
4,5,4,5,1,4,3,4,1,1,4,2,Web Developer
4,3,4,3,5,5,4,3,4,1,2,5,Financial Planner
4,3,3,3,3,5,5,2,3,5,4,2,Marine Biologist
2,5,5,5,4,5,4,3,2,1,4,3,UX/UI Designer
1,3,3,2,5,4,3,3,4,3,2,2,Social Worker
4,5,4,2,3,5,3,4,1,1,4,2,Network Administrator
2,4,3,5,4,4,1,4,2,4,4,3,Photographer
1,2,2,4,4,3,1,5,3,2,4,3,Bartender
3,3,4,2,5,5,5,2,4,2,2,1,Psychologist
5,4,4,5,2,4,3,4,1,1,4,4,Game Developer
5,4,4,2,2,4,4,3,2,2,5,3,Electrical Engineer
4,4,5,2,2,4,5,4,2,1,1,4,Financial Analyst
5,4,5,2,3,4,5,1,4,2,3,2,Academic Researcher
1,2,2,4,5,2,1,5,3,2,4,3,Bartender
4,4,4,5,3,5,3,2,2,1,4,3,Architect
3,4,4,1,4,5,4,5,2,3,3,4,Logistics Manager
5,4,5,3,2,4,4,5,2,1,3,4,DevOps Engineer
1,2,2,5,5,3,2,5,3,3,3,3,Actor
3,3,4,2,5,4,4,5,3,2,2,4,Operations Manager
4,3,3,2,4,5,4,3,4,1,3,2,Pharmacist
5,3,4,2,3,5,4,3,3,1,2,3,Judge
4,3,3,3,3,5,5,3,3,5,4,2,Environmental Scientist
5,5,5,2,2,4,5,3,3,2,5,4,Aerospace Engineer
5,5,5,1,3,4,4,5,2,1,4,3,DevOps Engineer
5,3,3,3,3,4,4,3,2,3,5,3,Civil Engineer
5,3,3,3,3,5,3,3,2,4,4,3,Civil Engineer
3,4,5,2,5,4,1,5,3,2,2,2,Call Center Agent
2,4,4,3,4,5,4,2,4,1,2,1,Librarian
2,5,4,1,5,4,2,4,3,1,5,2,IT Support Specialist
2,3,3,3,5,3,3,4,3,3,1,2,Social Worker
4,3,3,2,5,5,5,5,4,2,4,2,Doctor
3,2,4,2,5,5,4,5,3,1,3,4,Operations Manager
2,3,1,4,5,3,3,4,5,4,2,3,Tour Guide
3,3,3,3,4,4,3,3,5,2,1,2,Tutor
2,2,2,4,5,3,1,5,4,3,2,5,Sales Representative
2,2,3,3,5,4,3,3,4,2,2,2,School Counselor
3,4,3,5,5,3,3,5,4,2,3,5,Entrepreneur
3,4,4,2,4,4,4,5,3,3,2,4,Logistics Manager
3,4,4,3,5,3,3,5,2,2,2,4,Hotel Manager
2,2,3,3,5,3,4,4,3,2,3,4,Insurance Agent
5,5,4,2,2,5,5,5,2,1,3,3,Cybersecurity Specialist
1,3,2,3,5,4,3,4,2,2,1,5,Insurance Agent
3,3,4,2,3,5,4,2,3,1,3,5,Auditor
3,4,4,4,5,4,5,5,3,3,2,2,Journalist
5,5,5,4,2,4,3,5,2,1,4,3,Mobile App Developer
3,4,4,3,4,5,5,3,3,3,2,3,Environmental Planner
2,4,4,2,4,5,4,5,4,3,2,5,Insurance Agent
4,5,5,5,2,4,2,4,1,1,4,3,Web Developer
4,3,3,3,4,5,4,3,3,1,4,4,Industrial Engineer
2,3,2,2,4,4,3,5,2,5,3,2,Police Officer
4,3,3,3,2,4,5,3,3,4,4,2,Environmental Scientist
2,3,2,1,2,4,2,3,2,5,4,2,Heavy Equipment Operator
5,5,5,3,2,4,4,4,2,2,5,2,DevOps Engineer
2,3,3,2,5,4,2,4,2,2,3,2,Medical Assistant
2,3,2,3,5,3,3,4,5,4,2,3,Tour Guide
2,4,5,5,2,4,2,4,2,1,4,3,Animator
2,1,2,5,5,3,1,4,1,2,5,4,Chef
5,4,4,3,1,5,4,3,2,3,5,2,Chemical Engineer
5,4,3,3,3,5,4,4,2,3,4,2,Mechanical Engineer
3,3,2,3,5,4,3,4,4,1,2,5,Business Manager
5,5,5,1,2,4,4,4,2,1,4,3,Cloud Engineer
1,2,1,3,4,4,2,5,5,2,4,3,Fitness Trainer
2,3,3,3,4,4,2,3,5,2,1,3,Human Resource Manager
3,5,5,5,1,3,3,4,2,1,3,3,Animator
4,4,5,2,3,4,4,3,2,1,1,4,Economist
2,2,2,5,4,4,2,4,2,2,5,3,Chef
2,3,3,2,5,4,2,4,3,2,3,2,Medical Assistant
5,3,3,2,4,5,5,5,2,2,5,2,Surgeon
5,5,5,5,1,4,3,4,2,1,4,4,Game Developer
3,2,2,3,5,4,3,4,5,2,4,1,Physical Therapist
4,3,4,3,5,4,5,4,3,2,2,4,Lawyer
3,3,2,3,4,4,3,5,1,5,5,3,Firefighter
3,3,5,5,2,4,4,3,4,1,2,4,Writer
5,4,4,2,2,5,5,3,2,1,4,3,Aerospace Engineer
3,5,5,5,4,4,4,4,1,1,5,4,UX/UI Designer
1,3,2,3,5,5,2,4,4,3,1,3,Social Worker
2,2,1,2,2,3,2,3,1,5,5,3,Farmer
2,3,4,5,3,4,4,3,2,2,2,3,Writer
3,3,2,2,3,4,3,3,2,3,5,3,Automotive Technician
1,1,2,5,5,3,2,5,3,3,3,3,Actor
3,4,4,2,4,5,4,5,3,3,3,4,Logistics Manager
5,2,4,2,4,5,5,3,2,1,2,2,Judge
3,2,2,3,5,4,3,3,5,2,4,2,Physical Therapist
3,5,4,5,2,4,1,4,2,1,4,3,Animator
1,2,1,5,3,4,1,4,3,4,5,2,Dancer
5,5,5,3,3,4,5,4,4,1,3,5,Economist
4,4,4,2,4,5,4,3,3,1,2,5,Banker
3,2,3,2,3,4,3,3,3,5,5,3,Fisheries Specialist
3,4,4,2,4,5,4,4,2,1,2,3,Paralegal
1,3,2,5,3,5,2,4,3,2,5,3,Dancer
3,3,2,2,2,4,3,3,2,3,5,3,Automotive Technician
2,3,2,3,4,3,2,5,3,3,2,5,Sales Representative
5,4,5,3,2,5,5,3,2,1,5,3,Aerospace Engineer
5,4,5,2,1,5,5,4,2,2,3,5,Data Scientist
4,3,4,2,3,5,4,2,2,1,2,5,Accountant
2,3,3,3,4,3,2,4,3,2,2,4,Insurance Agent
2,2,2,1,5,5,3,5,4,3,4,2,Nurse
3,3,4,2,3,4,5,3,2,2,4,2,Medical Technologist
2,3,3,2,5,4,3,3,5,2,2,4,Human Resource Manager
2,3,4,2,4,4,4,3,5,2,3,2,Tutor
2,1,1,5,4,4,2,5,2,2,5,3,Chef
3,4,2,2,4,4,3,4,2,5,5,3,Ship Captain
2,4,3,2,5,5,2,5,2,4,3,1,Flight Attendant
4,5,5,4,1,4,3,4,2,1,4,3,Mobile App Developer
3,3,3,5,5,5,3,5,3,3,3,3,Event Planner
1,3,3,5,3,4,4,3,3,2,2,3,Writer
2,2,2,4,5,3,2,5,4,3,2,5,Sales Representative
3,3,3,2,4,5,2,5,3,3,4,4,Warehouse Manager
5,3,3,2,4,5,5,4,3,2,5,2,Surgeon
5,3,3,2,4,5,5,4,3,2,5,2,Surgeon
4,3,4,2,3,5,4,3,2,1,2,5,Accountant
3,4,4,3,5,4,3,5,3,2,2,4,Hotel Manager
2,3,2,2,4,4,3,5,2,4,4,2,Police Officer
3,3,3,3,4,5,2,3,3,1,5,3,Dentist
3,3,3,3,5,5,4,4,3,4,4,1,Veterinarian
2,3,3,3,5,4,3,4,3,3,2,2,Social Worker
2,2,2,3,5,3,2,4,5,2,4,3,Fitness Trainer
3,4,3,2,4,5,3,3,3,5,5,2,Ship Captain
4,4,5,3,3,5,5,3,3,2,2,2,Researcher
1,3,2,3,5,4,2,5,4,2,4,3,Fitness Trainer
5,4,5,4,2,4,3,5,2,1,4,3,Mobile App Developer
3,1,2,3,5,4,3,4,5,2,4,2,Physical Therapist
5,3,4,2,1,5,5,3,2,2,5,3,Chemical Engineer
3,4,3,5,5,4,4,5,2,2,2,5,Marketing Manager
4,3,2,1,3,4,2,4,2,3,4,3,Electrician
3,4,3,1,4,5,3,5,3,3,3,4,Logistics Manager
5,3,4,2,2,5,5,3,2,2,5,3,Chemical Engineer
2,4,3,2,5,4,2,5,2,1,2,2,Medical Assistant
3,3,2,2,4,5,2,5,3,5,5,2,Military Personnel
3,2,1,2,2,4,2,2,2,3,5,2,Welder
2,3,2,2,5,4,2,4,3,2,3,2,Medical Assistant
2,3,2,3,5,2,2,5,4,4,3,3,Cruise Staff
3,5,5,4,1,4,2,4,2,1,3,2,Animator
3,5,4,2,5,4,3,4,2,1,5,2,IT Support Specialist
2,3,3,1,4,4,2,4,3,2,3,2,Medical Assistant
2,3,2,2,4,4,3,5,2,5,3,1,Police Officer
2,2,3,3,5,5,3,5,4,2,1,5,Real Estate Broker
1,1,2,3,3,4,4,3,3,5,4,2,Forester
3,2,4,2,3,5,4,2,2,1,2,4,Accountant
5,5,4,2,2,4,4,4,2,1,4,4,AI/ML Engineer
2,4,5,5,3,3,2,3,1,1,4,3,Graphic Designer
5,2,4,3,2,4,4,3,1,3,5,3,Structural Engineer
4,3,4,3,4,4,4,5,4,2,3,4,Project Manager
4,4,3,2,2,5,4,3,2,2,5,2,Electrical Engineer
3,5,5,5,3,4,2,4,3,2,3,3,Graphic Designer
5,4,5,2,3,4,5,3,2,2,3,4,Data Analyst
2,4,4,5,3,3,2,5,2,1,3,5,Fashion Designer
4,4,4,3,4,5,4,5,4,2,3,4,Project Manager
5,4,4,2,3,5,5,2,4,2,3,2,Academic Researcher
2,3,3,4,5,3,3,4,3,3,1,5,Real Estate Agent
2,3,3,5,4,4,2,4,2,2,4,4,Fashion Designer
3,3,3,2,2,4,4,3,3,5,4,3,Fisheries Specialist
2,2,2,3,3,4,4,3,3,5,4,2,Forester
3,3,4,1,4,5,3,3,3,2,2,3,Government Officer
5,4,5,3,3,5,5,2,4,1,3,2,Academic Researcher
4,4,3,5,3,5,3,3,2,2,4,3,Architect
1,2,2,5,4,4,2,4,2,2,5,3,Chef
2,2,2,2,5,4,3,5,3,3,4,2,Nurse
3,4,4,5,3,5,3,2,1,2,4,3,Architect
5,4,4,3,3,5,5,2,4,2,3,2,Academic Researcher
2,5,5,5,4,3,1,4,2,1,5,2,Graphic Designer
2,2,2,3,5,4,1,5,5,3,4,3,Fitness Trainer
4,4,3,3,5,4,4,3,4,1,2,4,Financial Planner
3,3,3,4,5,4,3,2,5,1,3,2,Teacher
2,4,5,3,4,5,4,3,3,1,2,1,Librarian
4,3,3,2,3,4,4,3,3,5,5,3,Agricultural Engineer
3,4,5,4,4,5,5,3,3,4,4,3,Environmental Planner
2,3,4,1,2,5,4,3,2,2,5,2,Lab Technician
1,3,1,5,4,3,2,4,3,3,4,4,Musician
4,4,5,2,2,5,5,2,2,1,3,4,Data Analyst
1,1,2,3,5,4,2,5,4,3,4,3,Fitness Trainer
2,3,4,2,5,5,4,5,3,2,3,4,Operations Manager
2,2,1,2,3,3,2,3,2,4,5,3,Farmer
4,5,5,2,3,4,5,3,2,1,3,5,Data Analyst
4,4,5,3,2,5,4,4,3,2,4,4,AI/ML Engineer
3,4,4,5,3,5,4,4,1,1,3,4,Architect
3,3,4,3,5,5,5,3,4,2,2,2,Psychologist
4,5,5,2,2,4,4,4,2,1,4,3,Cloud Engineer
1,2,2,5,5,4,1,5,2,3,5,2,Dancer
4,3,3,2,4,4,4,3,3,5,5,3,Marine Biologist
4,3,3,3,3,5,5,3,3,5,4,2,Marine Biologist
2,3,2,2,4,4,3,5,2,5,4,1,Police Officer
4,3,3,3,3,5,4,3,2,2,4,3,Mechanical Engineer
4,3,4,2,3,5,5,3,1,2,4,2,Medical Technologist
1,1,2,3,3,4,4,3,3,5,4,2,Forester
3,4,4,3,4,5,5,3,3,4,3,3,Environmental Planner
2,2,3,2,5,4,3,3,5,1,1,4,Human Resource Manager
2,3,4,2,5,3,2,5,3,1,2,3,Call Center Agent
4,5,5,3,2,4,3,5,1,1,3,3,Mobile App Developer
4,3,3,3,2,5,5,3,3,5,3,2,Marine Biologist
2,3,3,3,5,4,3,4,4,2,2,4,Business Manager
3,5,4,4,2,4,2,4,2,1,4,3,Animator
3,4,4,4,4,4,5,5,3,3,1,3,Journalist
3,4,3,5,5,4,3,5,3,3,3,4,Event Planner
5,5,5,4,2,4,3,5,2,1,4,3,Mobile App Developer
4,3,3,3,3,4,3,3,3,4,4,3,Agricultural Engineer
5,4,5,3,2,4,4,4,2,1,4,3,Software Developer
2,4,4,1,5,4,2,5,2,1,2,3,Call Center Agent
1,2,2,5,3,3,3,5,2,2,5,2,Chef
5,3,4,2,2,4,4,3,2,1,5,3,Electrical Engineer
3,3,3,4,5,4,4,5,3,2,2,4,Marketing Manager
5,4,5,2,1,5,5,2,2,1,3,4,Data Analyst
2,3,3,2,5,5,2,4,3,3,3,2,Medical Assistant
2,3,4,2,5,4,5,1,5,1,2,2,Librarian
3,3,3,2,4,5,4,3,3,1,4,4,Industrial Engineer
2,4,3,4,4,4,2,3,4,1,3,3,School Counselor
2,3,2,3,5,4,2,5,3,4,3,2,Flight Attendant
3,4,3,2,4,5,3,3,3,5,5,3,Ship Captain
3,4,3,4,5,4,4,4,3,2,2,5,Marketing Manager
2,2,3,3,3,5,5,3,3,5,4,4,Fisheries Specialist
2,2,2,2,4,4,3,4,2,5,4,2,Police Officer
2,3,3,2,5,4,2,4,3,2,2,2,Medical Assistant
2,1,2,4,4,4,2,4,5,4,5,3,Fitness Trainer
3,3,4,2,2,5,4,3,2,2,5,1,Lab Technician
5,4,5,2,3,5,5,3,3,1,2,5,Economist
5,4,5,2,1,5,5,3,3,2,4,2,Physicist
4,2,4,2,3,5,5,3,2,1,2,4,Auditor
3,4,3,5,5,5,3,5,3,3,3,4,Event Planner
4,4,4,5,1,3,3,4,1,1,4,3,Game Developer
3,3,3,3,5,4,3,3,5,1,3,2,Teacher
3,2,3,2,3,3,2,4,3,2,4,2,Electrician
2,2,2,2,5,5,3,5,4,2,4,2,Nurse
5,4,5,2,3,4,5,5,2,1,2,5,Stock Trader
3,4,3,2,3,5,3,3,3,3,5,1,Radiologic Technologist
5,5,5,2,2,5,5,4,2,1,4,4,AI/ML Engineer
3,4,3,2,3,5,2,4,3,5,5,3,Ship Captain
5,3,4,1,3,4,5,3,3,1,2,3,Judge
2,3,3,2,5,4,3,2,5,2,1,4,Human Resource Manager
3,3,2,2,5,5,5,5,3,2,4,2,Doctor
3,5,4,2,5,4,3,3,3,1,5,2,IT Support Specialist
5,3,3,3,3,5,4,3,2,4,4,2,Civil Engineer
2,4,4,2,5,4,2,5,3,1,1,3,Call Center Agent
3,3,2,3,4,4,3,3,5,2,2,2,Tutor
3,3,1,2,4,5,2,5,3,5,5,2,Military Personnel
2,3,4,3,4,4,4,2,4,1,2,1,Librarian
2,2,2,3,5,4,2,4,5,3,4,3,Fitness Trainer
3,3,2,2,2,4,3,2,1,3,5,3,Automotive Technician
3,3,3,2,2,5,4,3,2,2,5,2,Lab Technician
2,2,2,3,2,4,4,3,3,5,4,2,Forester
2,2,1,2,4,4,3,5,2,4,4,2,Police Officer
4,5,4,2,3,5,4,3,2,3,5,3,Electrical Engineer
3,4,2,4,5,5,3,4,3,3,3,4,Event Planner
3,4,3,2,4,5,3,3,3,5,5,2,Ship Captain
3,4,3,5,5,4,3,5,3,3,3,4,Event Planner
4,4,4,3,5,5,4,5,5,2,4,4,Project Manager
4,4,5,3,2,5,5,4,3,3,2,2,Researcher
4,4,3,3,5,5,4,3,3,2,2,5,Financial Planner
5,4,5,2,3,5,5,4,2,1,2,5,Financial Analyst
5,5,4,2,3,5,4,3,2,1,3,5,Data Scientist
4,5,4,2,3,5,4,4,2,1,4,2,Network Administrator
2,3,1,1,2,4,3,2,2,2,4,2,Welder
4,4,3,2,2,5,3,5,2,4,5,3,Pilot
3,3,4,2,4,5,3,2,3,1,2,3,Government Officer
3,2,2,3,3,5,1,3,1,2,5,3,Electrician
4,3,4,2,2,4,5,3,2,1,2,5,Auditor
5,5,4,3,2,5,3,2,2,1,5,3,Computer Engineer
5,4,5,4,2,4,3,4,1,1,3,4,Game Developer
4,5,4,5,2,4,3,4,2,1,4,3,Web Developer
4,2,4,3,5,5,5,4,3,2,2,4,Lawyer
5,4,5,2,1,5,5,3,1,1,3,5,Data Analyst
2,2,1,2,4,3,2,5,2,5,5,2,Firefighter
4,5,4,2,3,5,4,3,2,1,5,2,Network Administrator
2,5,5,5,2,4,2,4,2,1,3,3,Graphic Designer
3,3,2,2,4,5,2,5,3,5,4,2,Military Personnel
4,3,4,3,5,4,4,3,3,2,3,5,Industrial Engineer
3,2,1,2,3,4,3,3,1,3,5,3,Mechanic
2,3,2,4,5,2,1,5,4,4,2,4,Sales Representative
2,3,2,2,4,4,1,4,3,2,2,2,Medical Assistant
3,3,3,4,5,4,3,2,5,2,2,1,Teacher
2,4,3,2,3,4,3,3,2,4,5,2,Automotive Technician
3,3,1,2,4,5,1,4,3,4,5,2,Military Personnel
3,3,4,1,4,5,3,3,3,2,2,3,Government Officer
5,5,5,2,3,4,4,5,2,1,4,3,DevOps Engineer
1,1,2,2,5,5,2,5,4,3,4,1,Nurse
4,3,2,3,2,5,5,3,3,5,4,2,Environmental Scientist
2,3,2,3,5,4,3,4,3,3,2,5,Real Estate Broker
3,3,2,2,3,4,2,3,2,3,5,2,Electrician
4,4,4,4,3,4,3,2,2,2,4,3,Architect
5,2,3,3,3,4,4,3,2,3,5,2,Mechanical Engineer
2,2,3,3,5,4,3,4,3,3,2,2,Social Worker
3,2,1,2,4,5,2,5,3,5,5,2,Military Personnel
2,3,2,3,5,4,2,5,3,4,3,2,Flight Attendant
4,5,5,5,2,4,2,4,1,1,4,4,Game Developer
